threshold,n,acc,logloss
0,8237,0.5712031079276435,0.7216909614257659
1,6122,0.5496569748448219,0.7219770303421662
2,4625,0.5511351351351351,0.7214729444305884
3,3622,0.5516289342904472,0.7241576782639196
4,2861,0.5540020971688221,0.7217299789381143
5,2298,0.5517841601392516,0.723579524617359
6,1804,0.5487804878048781,0.7195524649787995
7,1442,0.544382801664355,0.7281044301912538
8,1129,0.545615589016829,0.7308804386152926
9,873,0.54524627720504,0.725598077979463
10,668,0.5404191616766467,0.7203959863311776
11,473,0.5412262156448203,0.7183336478189684
12,347,0.5446685878962536,0.7011175322727135
